variant,final_equity,cagr,sharpe,sortino,max_drawdown,n_trades,turnover,exposure,costs,d_final_equity,d_cagr,d_sharpe,d_sortino
FROZEN (as selected),1929.4076428575127,0.38296201416961173,0.9233309369699061,1.00324683628142,-0.5344893791977496,572.0,18.64071505921348,0.5057037909496345,216.77652286783484,0.0,0.0,0.0,0.0
- volatility targeting,668.978387341519,0.2314556937287231,0.7936606678958901,0.7796146568587241,-0.46576509673096966,497.0,7.779762932352447,0.3209650133545508,34.874354441544945,-1260.4292555159936,-0.15150632044088863,-0.12967026907401602,-0.22363217942269586
- drawdown kill switch,1979.854164805545,0.38687765450870093,0.9273344688028823,1.0152988466647024,-0.5469560363799388,577.0,18.43934407589921,0.5130741937560154,215.91636242293248,50.44652194803234,0.003915640339089199,0.004003531832976193,0.012052010383282408
- trailing stop,1929.4076428575127,0.38296201416961173,0.9233309369699061,1.00324683628142,-0.5344893791977496,572.0,18.64071505921348,0.5057037909496345,216.77652286783484,0.0,0.0,0.0,0.0
+ adaptive weighting (was equal),1870.5032441746891,0.37827280181995615,0.894386426153744,0.9513728575398406,-0.6033906443212407,565.0,28.415680292654876,0.5284026241405206,368.13083963544256,-58.90439868282351,-0.00468921234965558,-0.028944510816162117,-0.051873978741579396
+ ATR stop (optimiser had it off),1216.8641735937254,0.3148662048237003,0.8137298796883993,0.8444965775225735,-0.5899403877246474,555.0,19.55173146192474,0.49569992395960044,177.62518263421484,-712.5434692637873,-0.06809580934591142,-0.10960105728150682,-0.15875025875884652
+ regime filter (optimiser had it off),2142.820829124692,0.3989470348422888,0.9838675792707919,0.9744238489629531,-0.5164178961757478,455.0,17.017392376636693,0.44924231052138436,219.78332854818487,213.4131862671793,0.01598502067267704,0.060536642300885846,-0.028822987318466886
+ signal smoothing (was 1),851.7962524210399,0.2644816371912264,0.7376519739443613,0.7653114556371481,-0.5478630997025098,627.0,13.838103050329956,0.4912668976324739,113.99215000224937,-1077.611390436473,-0.11848037697838532,-0.18567896302554476,-0.2379353806442719
cap gross at 1.0x (was 2.0),962.2836857236009,0.2814886908219627,0.8734300553395805,0.9115230065929772,-0.48614408092217076,422.0,10.509769838301722,0.3947806714724387,61.26215041830987,-967.1239571339117,-0.10147332334764902,-0.04990088163032558,-0.09172382968844273
target_vol 0.5 (was 0.8),970.9539956731235,0.28274848127177,0.9600618489425987,1.0935100937137021,-0.35854405132754597,576.0,11.541129832215386,0.32192808899884684,75.87626176903069,-958.4536471843892,-0.10021353289784174,0.036730911972692626,0.09026325743228214
full 6-model ensemble (was 3-model),756.825768372669,0.24821261552369456,0.7484644181810652,0.7607909631421454,-0.6612114177159429,624.0,19.69928116113172,0.4241164099909042,126.2669847042714,-1172.5818744848436,-0.13474939864591717,-0.17486651878884085,-0.24245587313927452
- ALL risk layers (signal only),624.3189752137604,0.2221707013119132,0.76981322823084,0.7553155385064472,-0.49631983062004814,499.0,7.772265297159706,0.32171930690778117,32.63755340002618,-1305.0886676437522,-0.16079131285769854,-0.15351770873906612,-0.2479312977749728
