parameter,selected,nearby,n_tested,selected_score,median,worst,best,stability,verdict
allow_short,0.0,1 .. 1,1,1.0184919154109342,0.39001061344514965,0.39001061344514965,0.39001061344514965,0.38292951327727603,SPIKE - performance collapses nearby; likely fitted to noise
trend_floor,0.5,0.4 .. 0.6,4,1.0184919154109342,1.0059555839560295,0.9720465684078333,1.0571381408050902,0.9543979227519332,plateau
signal_smooth,1.0,2 .. 2,1,1.0184919154109342,0.9737549550353232,0.9737549550353232,0.9737549550353232,0.9560752916162708,plateau
target_vol,0.8,0.64 .. 0.96,4,1.0184919154109342,0.9983242773993786,0.9840706070278953,1.0301446466293032,0.9662036508467022,plateau
strategies,2.0,1 .. 3,2,1.0184919154109342,1.0170997446291925,0.995977263464549,1.038222225793836,0.9778941279692915,plateau
ema_slow,100.0,80 .. 120,4,1.0184919154109342,1.0356477770572412,0.9961250066805012,1.128929237474496,0.978039188733856,plateau
min_trade_frac,0.1,0.08 .. 0.12,4,1.0184919154109342,1.0134229580159388,0.9983038104395187,1.0272313680173324,0.9801784337549011,plateau
regime_filter,0.0,1 .. 1,1,1.0184919154109342,0.9992540410166897,0.9992540410166897,0.9992540410166897,0.9811114117813271,plateau
ema_fast,20.0,16 .. 24,4,1.0184919154109342,1.0138000562822271,1.0070104343488862,1.0229162764152404,0.9887269786943614,plateau
max_leverage,2.0,1.6 .. 2.4,4,1.0184919154109342,1.0228526911185356,1.0078610717982894,1.037605994901293,0.9895621718230767,plateau
donchian_entry,40.0,32 .. 48,4,1.0184919154109342,1.0214103923742068,1.0085759702430777,1.0487456794167271,0.9902640904480271,plateau
max_positions,0.0,1 .. 1,1,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0,plateau
regime_trend,200.0,160 .. 240,4,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0,plateau
perf_lookback,60.0,48 .. 72,4,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0,plateau
mom_lookback,60.0,48 .. 72,4,1.0184919154109342,1.114989539685505,1.0397393860428863,1.1210825040210088,1.0,plateau
max_drawdown_stop,0.35,0.28 .. 0.42,4,1.0184919154109342,1.025937864151107,1.0209724936107822,1.0558524663832476,1.0,plateau
softmax_temp,4.0,3.2 .. 4.8,4,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0,plateau
trail_stop,1.0,2 .. 2,1,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0184919154109342,1.0,plateau
