era,bars,return,sharpe,sortino,max_drawdown,drawdown_bars,win_rate_bars,worst_bar,best_bar,benchmark_return,excess_return,beat_benchmark,n_trades,turnover,costs_paid,avg_exposure
2017,156,0.8070437164611379,3.1854308543763974,5.246795190505918,-0.2113362644440726,67,0.5384615384615384,-0.06547692987507625,0.12398150817240139,4.134093274226812,-3.3270495577656742,False,40,2.993021943734102,0.5772341586311878,0.43059753218255664
2018,365,-0.2892521938725118,-1.1843378981011203,-1.554290771872183,-0.4209185042083543,359,0.4520547945205479,-0.05218365174440143,0.0796288935646241,-0.7336921748551725,0.4444399809826607,True,184,15.872405961618606,6.370404345132626,0.2719528580166921
2019,365,0.9544830075576904,1.9014538109927057,2.2487158988378764,-0.20944029939824815,188,0.3287671232876712,-0.10808928588889521,0.17103314372790468,0.9409511736631408,0.013531833894549594,True,91,6.383543555977371,2.393063862095851,0.2743933399379283
2020,366,1.594099607191132,2.3737533920244696,3.1270889131921553,-0.18602687874500168,163,0.4918032786885246,-0.11201659094178784,0.16129231498046814,3.0456618455647133,-1.4515622383735813,False,96,12.333672019085125,5.892385753206269,0.556668061886866
2021,365,0.04435121094926897,0.31894907134995937,0.397203670820151,-0.41409748268420943,293,0.40273972602739727,-0.10518033189431142,0.14202990030883722,0.5940363048325501,-0.5496850938832811,False,97,10.443899116273395,13.741771684173193,0.4306718734539424
2022,365,-0.15421626818010525,-1.7027707575434323,-1.1251472295737495,-0.19025147460999225,277,0.26301369863013696,-0.051900851215667565,0.028490064596505604,-0.6422872444020116,0.4880709762219063,True,107,6.193389584312292,9.025749697657256,0.09828293271827268
2023,365,0.2456721879025321,1.095353655024418,1.5264760162897428,-0.14523380113300288,230,0.38082191780821917,-0.04237046800181765,0.07197264755087862,1.558207176496568,-1.3125349885940358,False,104,9.887191460833396,9.536829476073919,0.4037267723027291
2024,366,0.6967024111741755,1.4139268321653284,2.0528281520255427,-0.3515416859038568,244,0.39344262295081966,-0.09035696333097842,0.12887665565816064,1.2075786876957704,-0.5108762765215948,False,98,13.652834385783756,23.844693539226157,0.6325258920578486
2025,365,-0.1747487268860206,-0.5189087129004437,-0.4756301245110845,-0.31656037987374563,223,0.29863013698630136,-0.11738391603103315,0.0642971592978232,-0.06273181865801258,-0.11201690822800803,False,119,24.54930915685172,55.48401747920248,0.5270324185725568
2026,255,0.025387934972106008,0.3208372631977663,0.3075948434489305,-0.07448409084412555,108,0.16470588235294117,-0.034971082201396775,0.06601692929514624,-0.1183495291432014,0.1437374641153074,True,26,5.083047710111319,8.813365297201202,0.21232551814288883
