parameter,selected,nearby,n_tested,selected_score,median,worst,best,stability,verdict
allow_short,0.0,1 .. 1,1,0.9233309369699061,0.43363053344437535,0.43363053344437535,0.43363053344437535,0.46963717566685254,SPIKE - performance collapses nearby; likely fitted to noise
signal_smooth,1.0,2 .. 2,1,0.9233309369699061,0.8366097379633524,0.8366097379633524,0.8366097379633524,0.9060778800598336,plateau
donchian_entry,40.0,32 .. 48,4,0.9233309369699061,0.9041328822168166,0.868079256437415,0.9256478799445605,0.9401604794984879,plateau
max_drawdown_stop,0.35,0.28 .. 0.42,4,0.9233309369699061,0.9241128242487926,0.8891763156687128,0.9583020656785184,0.9630093394105493,plateau
strategies,2.0,1 .. 3,2,0.9233309369699061,0.9276305986609694,0.8940189721911689,0.9612422251307701,0.9682541073789531,plateau
max_leverage,2.0,1.6 .. 2.4,4,0.9233309369699061,0.9251739560860546,0.902320982954097,0.9263063817709619,0.9772454781112854,plateau
target_vol,0.8,0.64 .. 0.96,4,0.9233309369699061,0.9204380277252209,0.9083977667900551,0.9331900608769481,0.9838268495271509,plateau
ema_fast,20.0,16 .. 24,4,0.9233309369699061,0.9297192961583951,0.9126256668176681,0.9419899488555427,0.9884058145096173,plateau
min_trade_frac,0.1,0.08 .. 0.12,4,0.9233309369699061,0.9318699143172708,0.9182203833329337,0.9424131267826836,0.9944650899993195,plateau
ema_slow,100.0,80 .. 120,4,0.9233309369699061,0.957599563444086,0.9274860896519211,1.031345364657934,1.0,plateau
max_positions,0.0,1 .. 1,1,0.9233309369699061,0.9233309369699061,0.9233309369699061,0.9233309369699061,1.0,plateau
mom_lookback,60.0,48 .. 72,4,0.9233309369699061,1.0269994877998103,0.9992134775150694,1.0357613770159484,1.0,plateau
regime_trend,200.0,160 .. 240,4,0.9233309369699061,0.9233309369699061,0.9233309369699061,0.9233309369699061,1.0,plateau
regime_filter,0.0,1 .. 1,1,0.9233309369699061,0.9838675792707919,0.9838675792707919,0.9838675792707919,1.0,plateau
perf_lookback,60.0,48 .. 72,4,0.9233309369699061,0.9233309369699061,0.9233309369699061,0.9233309369699061,1.0,plateau
softmax_temp,4.0,3.2 .. 4.8,4,0.9233309369699061,0.9233309369699061,0.9233309369699061,0.9233309369699061,1.0,plateau
trail_stop,1.0,2 .. 2,1,0.9233309369699061,0.9233309369699061,0.9233309369699061,0.9233309369699061,1.0,plateau
